iotkey,tripid,tripstarttime,tripendtime,tripdistance,clat,clon,tripmaxacc,tripmaxacctime
11013_SO74908_222,9f2d4416-2be8-4691-8ed4-997d0cf41795,1/23/2014 18:22,1/23/2014 18:22,0,44.53326035,-122.8983231,0,1/23/2014 18:22
11066_SO66656_222,0eb029b0-e64b-4abe-95ea-2dc8178e61db,1/22/2014 22:48,1/22/2014 23:10,7.232000034,44.55582349,-122.9138164,10,1/22/2014 22:51
11013_SO74908_222,840b5b9e-aa4c-4cf3-b57f-ae76c67708fb,1/20/2014 3:09,1/20/2014 3:09,0,44.55245972,-122.8931503,0,1/20/2014 3:09
11013_SO74908_222,b8dbf5de-ae48-4f99-8435-6f1122afbb23,1/19/2014 5:18,1/19/2014 5:19,0.18,44.54532841,-122.8867591,9,1/19/2014 5:18
11013_SO74908_222,c30df3d7-a5c6-4f50-9f0f-45ff8bb793d3,1/17/2014 2:49,1/17/2014 2:54,0.890000008,44.52871691,-122.8823171,9.899999619,1/17/2014 2:51
11045_SO55973_222,ad93b6a4-4f47-44e8-bff5-c91dd069e434,1/16/2014 12:34,1/16/2014 13:08,11.60000008,-33.96163278,151.2204322,9.899999619,1/16/2014 13:07
11013_SO74908_222,be871ae2-1907-4d10-b942-3488d6088d2f,1/15/2014 11:50,1/15/2014 11:50,0,44.54056931,-122.8776779,0,1/15/2014 11:50
11066_SO66656_222,5e8f0ff1-6ec8-4230-bb82-57dbba36f205,1/14/2014 0:42,1/14/2014 1:19,10.671,44.53119283,-122.9093199,10,1/14/2014 0:45
11013_SO74908_222,e1629fb6-c2eb-4b8a-ab38-5be896948ad1,1/12/2014 9:52,1/12/2014 9:56,1.007000003,44.5514931,-122.8726946,9.899999619,1/12/2014 9:53
11045_SO55973_222,d59a3260-d21c-4e67-93dd-91ebdeef11c8,1/10/2014 12:20,1/10/2014 12:42,7.205999996,-33.97919117,151.2328808,10,1/10/2014 12:29
11013_SO74908_222,0c524fc0-77ef-4e5f-a0d8-7d6e44bf54e0,1/8/2014 22:04,1/8/2014 22:04,0,44.56930923,-122.910347,0,1/8/2014 22:04
11013_SO74908_222,54cff2ce-d30b-4755-b357-890d1319e7f1,1/7/2014 13:21,1/7/2014 13:22,0.364,44.53534222,-122.8798326,9.699999809,1/7/2014 13:22
11013_SO74908_222,e0caaf07-9947-404e-9799-21bd19a7f7c4,1/4/2014 14:29,1/4/2014 14:29,0,44.55789185,-122.8928223,0,1/4/2014 14:29
11013_SO74908_222,c38000d6-f7ac-47e9-8a34-226685e98698,1/2/2014 13:03,1/2/2014 13:03,0,44.53527832,-122.9118195,0,1/2/2014 13:03
11066_SO66656_222,875a2100-aa54-4983-bf30-8f04910ba6cd,1/1/2014 13:02,1/1/2014 13:35,9.633000035,44.53924814,-122.9095916,9.899999619,1/1/2014 13:30
11013_SO74908_222,5449b9df-62c2-40bf-8444-1654f0de36a3,12/30/2013 21:51,12/30/2013 21:55,0.736000001,44.54890351,-122.8835366,9.899999619,12/30/2013 21:55
11013_SO74908_222,362bfb15-cfbd-4408-9532-165e56e72f66,12/29/2013 0:07,12/29/2013 0:10,0.758000001,44.55899726,-122.8889614,9.100000381,12/29/2013 0:07
11045_SO55973_222,ad93eb02-ee8f-4d94-a9cc-8870bc443c5d,12/28/2013 10:27,12/28/2013 10:41,4.92400003,-33.95876036,151.2281917,10,12/28/2013 10:28
11013_SO74908_222,cffb9ab2-9703-4c6d-91a2-ebb97d62a7c2,12/27/2013 13:44,12/27/2013 13:44,0,44.55038071,-122.894577,0,12/27/2013 13:44
11013_SO74908_222,438ac00d-03be-4506-b74f-22035e82ced8,12/26/2013 18:53,12/26/2013 18:56,0.743000004,44.55197906,-122.8937197,9.800000191,12/26/2013 18:55
11013_SO74908_222,42fbf5cb-b547-49c3-868d-9109b91bde95,12/26/2013 0:57,12/26/2013 0:57,0,44.5349617,-122.896637,0,12/26/2013 0:57
11013_SO74908_222,887bb011-c4ac-406c-b62a-d74f33cc556f,12/24/2013 3:43,12/24/2013 3:43,0,44.5494194,-122.8797684,0,12/24/2013 3:43
11045_SO55973_222,2af753c3-3f64-49ba-8a66-aa7cb869eaba,12/20/2013 17:42,12/20/2013 18:33,11.41100002,-33.97080422,151.2207728,10,12/20/2013 17:51
11013_SO74908_222,dad0cb30-e339-4d05-b50f-da71b2c3e69e,12/19/2013 10:17,12/19/2013 10:20,0.641000004,44.52578396,-122.8964123,9,12/19/2013 10:17
11045_SO55973_222,293df9f5-b336-4e77-9c73-1469e2541610,12/15/2013 22:12,12/15/2013 22:33,7.136000004,-33.97038783,151.2084003,10,12/15/2013 22:20
11066_SO66656_222,e333b8b5-ed0c-4477-b060-64aa1297350c,12/14/2013 7:41,12/14/2013 8:01,7.714000013,44.55312713,-122.9007658,9.899999619,12/14/2013 7:44
11013_SO74908_222,498b078b-d326-40c4-a14c-69ac23c776f7,12/14/2013 3:21,12/14/2013 3:27,1.472000016,44.55339971,-122.8978113,9.800000191,12/14/2013 3:22
11045_SO55973_222,c76a1e6f-9920-47f8-93ed-43c73d4cf373,12/11/2013 3:06,12/11/2013 3:16,3.527000003,-33.96216171,151.226958,9.899999619,12/11/2013 3:11
11013_SO74908_222,0c1fb4e9-84e1-4de1-80bb-75f788061dfe,12/10/2013 12:05,12/10/2013 12:05,0.017999999,44.54008102,-122.9064751,9.399999619,12/10/2013 12:05
11013_SO74908_222,41074e03-4f3d-4b68-a488-61a868bb9e34,12/6/2013 0:58,12/6/2013 1:00,0.433000002,44.54081433,-122.8943769,10,12/6/2013 1:00
11013_SO74908_222,f56f1802-da0e-465d-926b-251d254d9636,12/2/2013 23:51,12/2/2013 23:51,0,44.53070831,-122.8912811,0,12/2/2013 23:51
11045_SO55973_222,ba8137b0-1950-4538-9b2e-d981c9fad7a1,12/2/2013 22:03,12/2/2013 22:33,12.27200005,-33.96574804,151.2262991,10,12/2/2013 22:12
11013_SO74908_222,913b70a4-b5ba-4fee-b9b0-800aa7bb40ad,12/1/2013 21:45,12/1/2013 21:49,0.909999995,44.54127693,-122.8915485,9.600000381,12/1/2013 21:47
11013_SO74908_222,1a1fe8e2-78dc-45ee-b5d0-e4651b451049,11/29/2013 22:51,11/29/2013 22:51,0,44.53205872,-122.8957214,0,11/29/2013 22:51
11066_SO66656_222,89921483-c1b2-4bec-b348-1e60a9a2a71d,11/29/2013 7:51,11/29/2013 8:27,12.46000003,44.52386621,-122.9095387,10,11/29/2013 7:57
11013_SO74908_222,7ec233d6-af5c-4f29-9132-2a0c5325caf2,11/26/2013 17:21,11/26/2013 17:24,0.927000001,44.53859711,-122.887151,9.899999619,11/26/2013 17:24
11045_SO55973_222,42eac6b6-8325-4e87-9382-7eb35a350df7,11/22/2013 9:47,11/22/2013 10:37,12.93200004,-33.96937693,151.2230234,10,11/22/2013 10:07
11013_SO74908_222,68109936-ade0-4230-8e44-ad1319da4349,11/21/2013 13:01,11/21/2013 13:07,0.964000009,44.54526371,-122.8938963,9.899999619,11/21/2013 13:06
11066_SO66656_222,3a95cbf1-db45-48f8-ad46-79adeca4a635,11/20/2013 13:18,11/20/2013 13:55,11.96600004,44.54314668,-122.8831202,10,11/20/2013 13:23
11013_SO74908_222,9661c83b-ac83-4bf1-a652-bf1e66a55c70,11/18/2013 14:26,11/18/2013 14:26,0,44.53718948,-122.9084396,0,11/18/2013 14:26
11045_SO55973_222,d5bd97d8-feac-44b4-9555-60eae0db15df,11/17/2013 16:42,11/17/2013 16:53,3.003000008,-33.97374606,151.2280319,9.899999619,11/17/2013 16:46
11013_SO74908_222,537fcfd8-83f9-494e-a8af-7cf51fc9ad42,11/17/2013 8:18,11/17/2013 8:18,0.032000002,44.55150604,-122.8888359,8,11/17/2013 8:18
11013_SO74908_222,c0d3e867-b80a-4bb0-92d3-90adca5a6cfd,11/15/2013 6:12,11/15/2013 6:12,0,44.54898834,-122.8979568,0,11/15/2013 6:12
11066_SO66656_222,62139922-4d76-4361-b245-b96ddd937006,11/12/2013 13:00,11/12/2013 13:31,9.77100002,44.53744817,-122.8984476,10,11/12/2013 13:13
11013_SO74908_222,65fc6963-bd17-44ea-bf2d-eca408cdc381,11/11/2013 14:44,11/11/2013 14:44,0,44.5497818,-122.9098663,0,11/11/2013 14:44
11045_SO55973_222,d90391d5-cab8-423e-83d7-7b0168dc5932,11/10/2013 8:16,11/10/2013 8:39,6.732000016,-33.96706193,151.227676,9.899999619,11/10/2013 8:20
11013_SO74908_222,ed25e6ab-9eba-4ac5-b6b3-c284c28558bc,11/9/2013 22:08,11/9/2013 22:15,1.663000006,44.56959805,-122.9051366,10,11/9/2013 22:14
11066_SO66656_222,c03d5e76-ad2a-4955-86be-87676bd215f0,11/7/2013 10:26,11/7/2013 10:52,9.833000023,44.52526315,-122.9170272,10,11/7/2013 10:32
11013_SO74908_222,20b7dd91-490b-4fbe-935f-0723283d0122,11/6/2013 10:47,11/6/2013 10:52,0.958000014,44.54209518,-122.8985203,9.899999619,11/6/2013 10:49
11013_SO74908_222,0cc00093-4c9e-4c50-a586-26857f95f7ea,11/4/2013 8:50,11/4/2013 8:50,0,44.54298019,-122.8996506,0,11/4/2013 8:50
11045_SO55973_222,c888a492-d907-449d-ae49-6401bd551b79,11/2/2013 8:50,11/2/2013 9:15,11.08100002,-33.97217416,151.2286764,10,11/2/2013 9:15
11013_SO74908_222,227f8353-34e9-4a35-af38-4999f05150e3,10/29/2013 4:10,10/29/2013 4:18,1.633000001,44.53372308,-122.8951655,10,10/29/2013 4:12
11066_SO66656_222,5f466859-482b-4732-a2e4-898ea3529eec,10/27/2013 4:39,10/27/2013 5:16,8.610000037,44.5313983,-122.9000496,10,10/27/2013 4:55
11045_SO55973_222,75d8a92c-3eb4-491f-9fa5-ad9095088e0f,10/25/2013 6:51,10/25/2013 7:29,7.972999992,-33.97067999,151.2325211,10,10/25/2013 7:04
11013_SO74908_222,4c56d402-1726-4069-9679-5a7792750dc0,10/24/2013 8:03,10/24/2013 8:04,0.210000001,44.54797554,-122.8972143,10,10/24/2013 8:04
11013_SO74908_222,08557a37-a0f6-4da7-9ae9-967a280ceacc,10/19/2013 21:35,10/19/2013 21:40,1.003999997,44.55066024,-122.9043418,10,10/19/2013 21:37
11013_SO74908_222,d50385e2-72f2-4631-9d4b-71bbfae556c5,10/18/2013 2:46,10/18/2013 2:46,0,44.54745102,-122.8923035,0,10/18/2013 2:46
11013_SO74908_222,7fa7fd70-21ed-40de-ad6d-e30756fbab38,10/16/2013 14:48,10/16/2013 14:55,1.827000013,44.55800779,-122.8903097,9.699999809,10/16/2013 14:49
11066_SO66656_222,20e56300-f242-4922-beb2-46a95e342f4c,10/15/2013 16:36,10/15/2013 17:01,5.890999986,44.56603599,-122.9029453,10,10/15/2013 16:40
11013_SO74908_222,36389dd5-b597-4bb6-b63f-afddfa6f906f,10/14/2013 7:36,10/14/2013 7:36,0,44.55284882,-122.8922729,0,10/14/2013 7:36
11013_SO74908_222,56d4f63c-671e-446e-abbf-3377672e589a,10/13/2013 0:25,10/13/2013 0:30,1.187999994,44.54717965,-122.8917983,9.800000191,10/13/2013 0:29
11045_SO55973_222,7e269ca9-5764-4794-af0e-faea386ff495,10/12/2013 9:10,10/12/2013 9:59,15.23300006,-33.98503883,151.2155935,10,10/12/2013 9:11
11013_SO74908_222,df01fdb1-055f-4505-aaa8-7167b4365d68,10/10/2013 20:58,10/10/2013 21:07,1.895999996,44.54883666,-122.897001,10,10/10/2013 21:01
11013_SO74908_222,e1a7b190-dc44-42d8-9816-b7dfb1f42bee,10/8/2013 21:43,10/8/2013 21:43,0,44.54542923,-122.8880997,0,10/8/2013 21:43
11066_SO66656_222,6be5342a-88d6-4103-aa6b-9f2b5014f224,10/8/2013 1:29,10/8/2013 1:53,5.728000034,44.53440811,-122.9095432,9.899999619,10/8/2013 1:32
11045_SO55973_222,d3dee100-1c9f-4990-acb9-7ed3c4a814ec,10/5/2013 23:35,10/5/2013 23:58,7.627000025,-33.95925684,151.2309924,9.800000191,10/5/2013 23:48
11013_SO74908_222,3d7f9088-a6ed-47d2-811c-9c41c20e288f,10/3/2013 8:04,10/3/2013 8:04,0,44.54296875,-122.8936234,0,10/3/2013 8:04
11066_SO66656_222,7e27acce-fc61-48db-ba20-984a6b21bc1c,10/1/2013 1:57,10/1/2013 2:36,8.378999997,44.53041104,-122.9220875,10,10/1/2013 2:34
11013_SO74908_222,6c028b25-d3e5-4ebc-98c6-083919578adf,9/30/2013 21:21,9/30/2013 21:21,0,44.5395813,-122.891571,0,9/30/2013 21:21
11045_SO55973_222,c2fdeeca-0d32-48e5-95ff-44eeefe4cd8e,9/30/2013 19:23,9/30/2013 19:44,6.554000005,-33.9940464,151.2302836,9.699999809,9/30/2013 19:25
11013_SO74908_222,5252fa4e-9deb-4bc9-ab02-da0ba067c580,9/28/2013 23:41,9/28/2013 23:41,0,44.52907944,-122.8990097,0,9/28/2013 23:41
11045_SO55973_222,1852c9e7-3f24-490e-8b76-e812eaabe93e,9/26/2013 7:02,9/26/2013 7:39,8.954000017,-33.98859989,151.2213534,10,9/26/2013 7:22
11013_SO74908_222,ed4281ee-f55c-45b1-ac23-de91789a92d2,9/26/2013 4:20,9/26/2013 4:24,0.943000004,44.54024141,-122.8834607,9.899999619,9/26/2013 4:23
11013_SO74908_222,777dabba-7b0a-4a5f-94c0-e6eb0f356112,9/25/2013 7:56,9/25/2013 7:58,0.588999996,44.53494787,-122.9038582,9.800000191,9/25/2013 7:57
11013_SO74908_222,cc43dd31-de44-4fc5-aba7-388dc31771a9,9/23/2013 13:58,9/23/2013 14:00,0.365000004,44.54039972,-122.898948,9.399999619,9/23/2013 13:59
11013_SO74908_222,b1a76436-348a-4726-bf13-224b4a3a0555,9/22/2013 8:58,9/22/2013 9:08,1.974999992,44.52363734,-122.905166,9.899999619,9/22/2013 9:05
11066_SO66656_222,186f7e96-4666-48fa-a288-3aa8dabc17a6,9/22/2013 3:28,9/22/2013 3:50,7.441,44.53409972,-122.8929923,9.899999619,9/22/2013 3:36
11013_SO74908_222,93dd16b2-f509-48e8-a8c1-18d5bc3677c0,9/18/2013 6:54,9/18/2013 6:54,0,44.56457901,-122.9051514,0,9/18/2013 6:54
11045_SO55973_222,3b3449a7-94b3-42ac-813a-cdfabcfcf2b5,9/17/2013 23:06,9/17/2013 23:32,9.720000014,-33.96827384,151.2095381,10,9/17/2013 23:14
11066_SO66656_222,937222d3-4321-47bf-8054-701ca8ce15a4,9/14/2013 5:16,9/14/2013 5:30,3.839000005,44.53701591,-122.9192393,10,9/14/2013 5:21
11013_SO74908_222,5dcd05cf-556c-4b48-93c7-f1fc87522ac1,9/14/2013 3:18,9/14/2013 3:24,1.412000008,44.55361477,-122.8894778,8.899999619,9/14/2013 3:20
11013_SO74908_222,402e4e75-4b27-4ffc-8bac-b31c06556e3b,9/12/2013 15:09,9/12/2013 15:11,0.404999997,44.54387447,-122.8866305,9.5,9/12/2013 15:10
11045_SO55973_222,41bb40d4-d1ee-4e50-bfea-921d17ce25f9,9/8/2013 2:06,9/8/2013 2:42,11.94,-33.95756222,151.2101447,10,9/8/2013 2:22
11066_SO66656_222,63346a58-578a-4a47-858a-843adafa9b01,9/6/2013 12:46,9/6/2013 13:01,5.702999994,44.5336449,-122.910087,9.899999619,9/6/2013 12:50
11013_SO74908_222,17683afe-ca01-4996-b148-42a29dc7838f,9/4/2013 14:41,9/4/2013 14:46,0.824000005,44.553795,-122.8717439,9.899999619,9/4/2013 14:44
11013_SO74908_222,f66600ba-8bab-429a-92b2-01aa600f0d99,9/3/2013 10:53,9/3/2013 10:53,0,44.53536987,-122.9039001,0,9/3/2013 10:53
11013_SO74908_222,abcc31c1-fc09-4eb1-afb8-5e93eddc43b6,9/2/2013 4:06,9/2/2013 4:08,0.377,44.53736916,-122.9077202,9.5,9/2/2013 4:07
11045_SO55973_222,16aca6af-455e-46eb-a2df-716751962a2b,8/28/2013 14:28,8/28/2013 14:43,3.712000011,-33.96997305,151.2111942,9.899999619,8/28/2013 14:37
11066_SO66656_222,dc23c33e-5f09-4d3e-84ad-39804e76f3c2,8/28/2013 13:32,8/28/2013 14:10,12.70900004,44.55984472,-122.9033418,10,8/28/2013 13:34
11013_SO74908_222,da83dfd4-4b52-462e-91e4-7bd79e2809ba,8/28/2013 5:56,8/28/2013 5:56,0,44.5501709,-122.8889923,0,8/28/2013 5:56
11013_SO74908_222,ba118a4e-2793-401e-8c54-5d087245d884,8/24/2013 20:00,8/24/2013 20:01,0.228000004,44.55375508,-122.8986468,8.399999619,8/24/2013 20:01
11013_SO74908_222,9fa9a480-7ebc-43d8-b4f7-37e867fe8606,8/23/2013 16:33,8/23/2013 16:40,1.948000003,44.53113954,-122.8957389,9.899999619,8/23/2013 16:36
11013_SO74908_222,eb4f779d-8e83-4581-b21b-93a21e9202ec,8/21/2013 1:33,8/21/2013 1:36,0.540999997,44.5567924,-122.9038985,9.699999809,8/21/2013 1:34
11013_SO74908_222,9a8f2a2d-d21b-4130-b94f-efeb9bf70821,8/20/2013 2:47,8/20/2013 2:50,0.734999999,44.54602596,-122.9061792,10,8/20/2013 2:50
11066_SO66656_222,0e80b085-4893-4601-80b3-418933c27154,8/19/2013 11:59,8/19/2013 12:18,6.28600001,44.54478448,-122.8950251,10,8/19/2013 12:08
11045_SO55973_222,40fe5551-ef1e-4030-a095-ed0f0fa1656b,8/16/2013 23:59,8/17/2013 0:16,6.366000019,-33.97483478,151.1983349,9.899999619,8/17/2013 0:02
11013_SO74908_222,cefba793-7aeb-4967-8b72-672df8c8c0f2,8/13/2013 14:00,8/13/2013 14:01,0.317,44.551511,-122.8782814,9.100000381,8/13/2013 14:00
11066_SO66656_222,bc409d4b-37c0-45c1-aac6-97de88d9cecd,8/11/2013 1:22,8/11/2013 2:08,13.09300003,44.53081308,-122.9080529,10,8/11/2013 1:48
11013_SO74908_222,6a07c597-c1c2-4973-bcb8-f1b93c556416,8/9/2013 20:14,8/9/2013 20:19,0.938000003,44.55641267,-122.8860878,10,8/9/2013 20:17
11045_SO55973_222,3a8ba640-68c7-455c-b738-69e800c1d595,8/7/2013 0:55,8/7/2013 1:25,9.857000023,-33.9880636,151.2197296,9.899999619,8/7/2013 1:10
11066_SO66656_222,b5e8c4f9-b295-4f47-819b-d8e6d374c088,8/2/2013 13:08,8/2/2013 13:22,4.305000003,44.54523223,-122.9248388,9.899999619,8/2/2013 13:20
11013_SO74908_222,a953e951-27bd-4704-a5a0-2e00f57dd509,8/1/2013 5:30,8/1/2013 5:32,0.542999998,44.55681757,-122.9085787,9.399999619,8/1/2013 5:31
11045_SO55973_222,f2aa916b-7f22-4359-a092-edc8e67e3eac,7/31/2013 5:24,7/31/2013 6:03,9.274000021,-33.97578078,151.2159487,10,7/31/2013 5:31
11013_SO74908_222,fc3fb9b3-394f-42af-9baa-9d8e52eada40,7/30/2013 2:38,7/30/2013 2:38,0,44.53546143,-122.8946228,0,7/30/2013 2:38
11013_SO74908_222,a137d407-e6e9-49a0-b35b-8aa3e81746e7,7/27/2013 13:20,7/27/2013 13:20,0.123,44.52837219,-122.9083221,7.400000095,7/27/2013 13:20
11013_SO74908_222,516c0f2a-0041-41f0-9519-d2adfb1e911f,7/25/2013 21:26,7/25/2013 21:26,0,44.5340004,-122.8836975,0,7/25/2013 21:26
11066_SO66656_222,9bcf431f-fef9-4197-a633-9032647bd5dc,7/25/2013 7:01,7/25/2013 8:02,15.85500007,44.52962271,-122.9153943,10,7/25/2013 8:00
11045_SO55973_222,ece2b86f-8e5f-4811-8b07-962c4060311e,7/21/2013 12:27,7/21/2013 13:05,10.12200001,-33.97795171,151.2245883,10,7/21/2013 13:03
11066_SO66656_222,a6d04d4c-21e2-4d30-acaa-f3a77f65728e,7/18/2013 21:53,7/18/2013 22:18,7.891000021,44.52943946,-122.9238493,9.899999619,7/18/2013 22:14
11013_SO74908_222,78cb3730-1d29-42b0-be50-29376b760064,7/18/2013 9:07,7/18/2013 9:08,0.291000001,44.53840186,-122.9080526,9.199999809,7/18/2013 9:07
11013_SO74908_222,3c696026-6b67-4eb6-b41c-81bd3e38d091,7/14/2013 9:57,7/14/2013 10:00,0.939000003,44.54173926,-122.9150925,9.600000381,7/14/2013 9:57
11013_SO74908_222,e24d48ec-37e4-446d-b862-b6ab169be272,7/13/2013 4:32,7/13/2013 4:33,0.370999999,44.5411805,-122.9151332,9,7/13/2013 4:32
11013_SO74908_222,d9d16780-3d29-4ef6-a378-5ba97856c296,7/12/2013 7:57,7/12/2013 7:57,0,44.53210831,-122.901619,0,7/12/2013 7:57
11045_SO55973_222,085d79ca-01ea-43e2-9153-067ac8c1570f,7/11/2013 6:23,7/11/2013 6:52,10.16800004,-33.98286732,151.2189903,10,7/11/2013 6:49
11013_SO74908_222,2721b57c-17aa-49d3-8367-9d27af8b9d65,7/11/2013 0:03,7/11/2013 0:07,0.907999992,44.54933152,-122.8918604,9.800000191,7/11/2013 0:07
11066_SO66656_222,14408a25-f115-41ea-abce-fa6b5d45d006,7/9/2013 12:46,7/9/2013 13:15,7.781000014,44.53894864,-122.9185315,10,7/9/2013 12:50
11013_SO74908_222,4b2528e4-4aee-4917-bdc1-dea1c2e286b2,7/5/2013 3:53,7/5/2013 3:53,0,44.52693939,-122.9150314,0,7/5/2013 3:53
11045_SO55973_222,373d933e-f20f-4f48-81b4-539ab5ec9b21,7/4/2013 17:42,7/4/2013 18:06,7.607000012,-33.96091161,151.2372114,10,7/4/2013 17:46
11013_SO74908_222,39d8b6ef-5ab9-4a4e-8a33-83bffdfe5147,7/1/2013 16:01,7/1/2013 16:01,0,44.52577972,-122.8779831,0,7/1/2013 16:01
11066_SO66656_222,dca81ff9-cc32-49a0-811e-35ebe01c9e3f,7/1/2013 14:28,7/1/2013 14:58,9.999000002,44.5402954,-122.9157752,10,7/1/2013 14:46
11013_SO74908_222,a862ad95-6feb-4aa7-9453-0192b34ed74a,6/28/2013 9:23,6/28/2013 9:26,0.582000006,44.53726959,-122.8934326,9.399999619,6/28/2013 9:25
11045_SO55973_222,e3230776-4c2d-4d04-8b20-87de423f0e18,6/25/2013 23:10,6/25/2013 23:34,10.04700001,-33.96311982,151.22719,10,6/25/2013 23:29
11013_SO74908_222,c522fabb-2af3-4889-b23c-fb0979bd931c,6/25/2013 1:40,6/25/2013 1:40,0,44.52788162,-122.8835831,0,6/25/2013 1:40
11045_SO55973_222,5021ec0e-d7c4-485a-87f5-c68c79749eae,6/23/2013 18:02,6/23/2013 18:21,7.164000047,-33.96185982,151.215991,9.800000191,6/23/2013 18:05
11013_SO74908_222,657c9b94-d51c-4544-9f52-cdc0ff168a5f,6/23/2013 8:19,6/23/2013 8:22,0.580999998,44.53683853,-122.9128861,8.800000191,6/23/2013 8:20
11066_SO66656_222,10e6ea51-15a2-4a4a-8937-0213fe715774,6/23/2013 0:42,6/23/2013 1:07,8.993000012,44.51236126,-122.9212044,9.899999619,6/23/2013 0:46
11013_SO74908_222,c00e03e6-1102-4de3-8ede-e8a60d767bc5,6/19/2013 21:46,6/19/2013 21:46,0,44.5236702,-122.9006195,0,6/19/2013 21:46
11013_SO74908_222,e8aae335-a51d-411f-aed2-121476df20d8,6/18/2013 8:13,6/18/2013 8:13,0,44.55250931,-122.9039307,0,6/18/2013 8:13
11066_SO66656_222,9cdb98f2-0f87-458f-a2fa-c056ee2f2859,6/16/2013 2:59,6/16/2013 3:37,10.14100003,44.54031101,-122.9190614,9.899999619,6/16/2013 3:09
11013_SO74908_222,080a19f1-3f74-4128-8244-22219db397b1,6/15/2013 12:35,6/15/2013 12:37,0.438999999,44.54229069,-122.8948148,10,6/15/2013 12:36
11045_SO55973_222,520e5bde-4732-4e12-921e-70f3ccbf8e00,6/12/2013 15:09,6/12/2013 15:45,13.00300005,-33.96675569,151.2379329,10,6/12/2013 15:17
11013_SO74908_222,4b5464dc-7c06-4346-99be-0ee4b84c9efa,6/11/2013 22:11,6/11/2013 22:14,0.551000001,44.55065626,-122.8909288,9.100000381,6/11/2013 22:13
11013_SO74908_222,7d7fda4d-9e47-4912-a9ad-88a7ed94b28c,6/10/2013 16:20,6/10/2013 16:21,0.064999998,44.54151662,-122.9007696,7.300000191,6/10/2013 16:21
11013_SO74908_222,33f827f2-1650-4ecf-9ddf-e20423d9a6d5,6/9/2013 3:35,6/9/2013 3:37,0.408000007,44.53692558,-122.8890256,10,6/9/2013 3:36
11013_SO74908_222,c926c4fb-2903-42af-b798-fbad9c5712e0,6/6/2013 16:06,6/6/2013 16:06,0,44.5320816,-122.8901367,0,6/6/2013 16:06
11066_SO66656_222,87072d69-cc32-483e-9091-8762cb8a56a0,6/6/2013 8:14,6/6/2013 8:44,10.23800003,44.51901606,-122.8963357,9.899999619,6/6/2013 8:43
11013_SO74908_222,e6eb555c-40c4-4a72-8f91-49a8cee77fa1,5/31/2013 19:53,5/31/2013 19:54,0.217000004,44.53065981,-122.901171,9.5,5/31/2013 19:54
11066_SO66656_222,e4790745-c559-4de1-801d-36b311604bd6,5/31/2013 7:51,5/31/2013 8:32,11.34300002,44.54179351,-122.921988,9.899999619,5/31/2013 8:16
